genes,reaction,Organism,geneKO,maxATPafterKO,growthAcrossCond,closeness,degree,betweenness,pagerank,reversible,rawVmin,rawVmax,PFBAflux,kcat,MW,Target,Phase
DGKQ,"DAGK_hs",3,0.881066159577056,0.489409498952661,1,0.86938261828671,0.714285714285714,0.0138522069045487,0.568060803783111,1,0.909166806488436,1,1.08927080450984,1.03147457188981,0.349410193634543,0,G2
DHCR24,"DHCR241r",3,0,0.48940949895266,0.0116279069767442,0.165819671955441,0.00591133004926108,0.00010522155233672,0.163974515693504,0,0.966765760705957,0.0546265312149268,-0,1.03147457188981,0.197121448178648,0,G2
DHCR24,"DHCR242r",3,0,0.48940949895266,0.0116279069767442,0.171265076566671,0.00689655172413793,0.000231233609403339,0.170219056923209,0,0.966765760705957,0.0546265312149268,-0,1.03147457188981,0.197121448178648,0,G2
DHCR24,"DHCR243r",3,0,0.48940949895266,0.0116279069767442,0.20303017137892,0.0118226600985222,0.000682324665006027,0.153205616381763,0,0.966765760705957,0.0546265312149268,-0.204721108649073,1.03147457188981,0.197121448178648,0,G2
DHCR7,"DHCR71r",3,0,0.48940949895266,0.0116279069767442,0.395844117259735,0.124137931034483,0.000563817843577398,0.389160056424355,0,0.966765760705957,0.0546265312149268,-0.204721108649073,1.03147457188981,0.1763038801098,0,G2
DHCR7,"DHCR72r",3,0,0.48940949895266,0.0116279069767442,0.397489028962013,0.12807881773399,0.00704950327171623,0.458494739531559,0,0.966765760705957,0.0546265312149268,-0,1.03147457188981,0.1763038801098,0,G2
DHFR,"DHFR",3,0.883375181480199,0.494249594249535,0.0232558139534884,0.823340214739594,0.628571428571429,0.00869200754827012,0.481104005021348,1,0.966972203398323,0.0545479051813447,-0.147348789174813,1.29344144239089,0.0537576971585429,0,G2
DHFR,"FOLR2",3,0.883375181480199,0.494249594249535,0.0232558139534884,0.490493258756288,0.106403940886699,0.00542379452838512,0.123464180158913,0,0.966765760705957,0.054345970677875,-0,0.0253176537704306,0.0537576971585429,0,G2
DHODH,"DHORD9",3,0.881479523132609,0.489409498952658,0.0581395348837209,0.425220068668747,0.00492610837438424,9.11234846041652e-06,0.0178760641136728,0,0.967246476971853,0.0548161893102281,-0.343111974101303,1.03147457188981,0.133192373321463,0,G2
DLAT,"PDHm",3,0.881066159577056,0.489409498952661,1,0.447901001438015,0.158620689655172,0.00128589989838061,0.320785929583799,0,0.968977400207064,0.0566494190120874,-1.68079410472705,0.288000448693995,0.230120928852289,0,G2
DLD,"2OXOADOXm",3,0.876585903024301,0.372092349594804,0,0.44850438832169,0.149753694581281,0.000882517368168859,0.294720070318377,0,0.969494832861917,0.057015446765557,-1.94787944849646,2.23739864377461,0.175146524222865,0,G2
DLD,"AKGDm",3,0.876585903024301,0.372092349594804,0,0.451774125149821,0.169458128078818,0.00350063757180008,0.376013749964784,0,0.966765760705957,0.054345970677875,-0,2.23739864377461,0.175146524222865,0,G2
DLD,"GCC2am",3,0.876585903024301,0.372092349594804,0,0.473193615481322,0.224630541871921,0.00146501243808169,0.346434570839228,1,0.966765760705957,0.0581703439790453,-0,2.23739864377461,0.175146524222865,0,G2
DLD,"GCC2bim",3,0.876585903024301,0.372092349594804,0,0.219316375906248,0.0137931034482759,1.21267666269448e-05,0.0346422699075811,0,0.966765760705957,0.0581703439790449,-0,2.23739864377461,0.175146524222865,0,G2
DLD,"GCC2cm",3,0.876585903024301,0.372092349594804,0,0.465920684742977,0.21576354679803,0.000759620193806682,0.321309798380595,1,0.966765760705957,0.0581703439790453,-0,2.23739864377461,0.175146524222865,0,G2
DLD,"GCCam",3,0.876585903024301,0.372092349594804,0,0.473193615481322,0.224630541871921,0.00146501243808169,0.346434570839228,1,0.966765760705957,0.0581703439790453,-2.79059182852495,2.23739864377461,0.175146524222865,0,G2
DLD,"GCCbim",3,0.876585903024301,0.372092349594804,0,0.219316375906248,0.0137931034482759,1.21267666269448e-05,0.0346422699075811,0,0.966765760705957,0.0581703439790449,-2.79059182852469,2.23739864377461,0.175146524222865,0,G2
DLD,"GCCcm",3,0.876585903024301,0.372092349594804,0,0.465920684742977,0.21576354679803,0.000759620193806682,0.321309798380595,1,0.966765760705957,0.0581703439790453,-2.79059182852495,2.23739864377461,0.175146524222865,0,G2
DLD,"OIVD1m",3,0.876585903024301,0.372092349594804,0,0.446696205988317,0.151724137931034,0.000985741450092157,0.29814255000512,0,0.967034605379867,0.0546089444606442,-0.191888299473112,2.23739864377461,0.175146524222865,0,G2
DLD,"OIVD2m",3,0.876585903024301,0.372092349594804,0,0.446696205988317,0.151724137931034,0.000987156976714566,0.298288226204105,0,0.967218539155014,0.0547888615850042,-0.323171314365311,2.23739864377461,0.175146524222865,0,G2
DLD,"OIVD3m",3,0.876585903024301,0.372092349594804,0,0.446696205988317,0.151724137931034,0.000987155745377558,0.298288171409631,0,0.967177437573166,0.0547486575582731,-0.293834997109005,2.23739864377461,0.175146524222865,0,G2
DLD,"PDHm",3,0.876585903024301,0.372092349594804,0,0.447901001438015,0.158620689655172,0.00128589989838061,0.320785929583799,0,0.968977400207064,0.0566494190120874,-1.68079410472705,2.23739864377461,0.175146524222865,0,G2
DLST,"2OXOADOXm",3,0.869415708401562,0.417417834758739,0,0.44850438832169,0.149753694581281,0.000882517368168859,0.294720070318377,0,0.969494832861917,0.057015446765557,-1.94787944849646,1.03147457188981,0.155033756213369,0,G2
DLST,"AKGDm",3,0.869415708401562,0.417417834758739,0,0.451774125149821,0.169458128078818,0.00350063757180008,0.376013749964784,0,0.966765760705957,0.054345970677875,-0,1.03147457188981,0.155033756213369,0,G2
DMGDH,"DMGDHm",3,0.876562609736605,0.478271667273983,1,0.485828333068592,0.160591133004926,0.00508283447693327,0.346592634324997,0,0.967513953578611,0.0550778249009893,-0.53402381354069,-0.396067492837349,0.333296238593367,0,G2
DNMT1,"DNAMTSEn",3,0.881066159577056,0.489409498952657,1,0.120516997390478,0.0334975369458128,0.000378196850235246,0.322158372459405,0,0.966765760705957,0.054345970677875,-0,-1.90557957146685,0.653624156094666,0,G2
DNMT1,"DNAMTn",3,0.881066159577056,0.489409498952657,1,0.163289711135246,0.0364532019704433,0.00178970267143759,0.389898233456864,0,0.966765760705957,0.054345970677875,-0,-1.90557957146685,0.653624156094666,0,G2
DOT1L,"LYSMTF1n",3,0.881066159577056,0.489409498952657,1,0.150420085029196,0.00492610837438424,0.00699732040972369,0.1996014845166,0,0.966765760705957,0.054345970677875,-0,1.03147457188981,0.585707396691149,0,G2
DOT1L,"LYSMTF2n",3,0.881066159577056,0.489409498952657,1,0.150355790203725,0.00394088669950739,1.24727195766986e-07,0.102330985912421,0,0.966765760705957,0.054345970677875,-0,1.03147457188981,0.585707396691149,0,G2
DOT1L,"LYSMTF3n",3,0.881066159577056,0.489409498952657,1,0.159523895726319,0.00492610837438424,0.000492714039030474,0.14791649086,0,0.966765760705957,0.054345970677875,-0,1.03147457188981,0.585707396691149,0,G2
DPM1,"DOLPMT_L",3,0.881066159577056,0.489409498952657,1,0.432206955448539,0.0266009852216749,0.00443191334196694,0.046607794739981,0,0.966765760705957,0.054345970677875,-0,1.40181795705781,0.0841049039246235,0,G2
DPM1,"DOLPMT_U",3,0.881066159577056,0.489409498952657,1,0.432206955448539,0.0266009852216749,0.00443191334196694,0.046607794739981,0,0.966765760705957,0.054345970677875,-0,1.40181795705781,0.0841049039246235,0,G2
DPYD,"DURAD",3,0.88277582038057,0.419502294249441,0.941860465116279,0.820743739688751,0.622660098522167,0.00315129258122787,0.433328985392491,1,0.964776834029193,0.0524004771546712,1.41959947441306,-0.301429543574016,0.387417464203576,0,G2
DPYD,"DURAD2",3,0.88277582038057,0.419502294249441,0.941860465116279,0.82052777854474,0.621674876847291,0.00633741605716395,0.443667595252729,1,0.966765760705957,0.054345970677875,-0,-0.301429543574016,0.387417464203576,0,G2
DPYS,"DHPM1",3,0.88277582038057,0.454455896601049,1,0.908868452065566,0.764532019704433,0.00193859807575257,0.522407943015087,0,0.968754687382722,0.0562914642010788,-1.41959947441311,1.40550907171222,0.184245863936494,0,G2
DPYSL2,"DHPM1",3,0.88277582038057,0.454455896601049,1,0.908868452065566,0.764532019704433,0.00193859807575257,0.522407943015087,0,0.968754687382722,0.0562914642010788,-1.41959947441311,1.03147457188981,0.205256324653164,0,G2
DPYSL3,"DHPM1",3,0.88277582038057,0.454455896601049,1,0.908868452065566,0.764532019704433,0.00193859807575257,0.522407943015087,0,0.968754687382722,0.0562914642010788,-1.41959947441311,1.03147457188981,0.204028488760294,0,G2
DTYMK,"DTMPK",3,0.910041715585375,0.536868769675101,1,0.585004470828363,0.248275862068965,0.00730451057380834,0.285936035013198,1,0.969791307030054,0.0573054466839281,-2.1594883419671,0.361407345090898,0.0625343126344684,0,G2
DTYMK,"NDP8",3,0.910041715585375,0.536868769675101,1,0.929264316389581,0.812807881773399,0.0463433705791625,0.653354338098693,0,0.966765760705957,0.0562784558306094,-0.115810655073209,0.361407345090898,0.0625343126344684,0,G2
DUOX2,"H2O2syn",3,0.881066159577056,0.48940949895266,1,0.841108359467476,0.679802955665025,0.00582294503302554,0.494098350231711,0,0.966765760705957,0.054345970677875,-0,0.33871095731926,0.624686549447288,0,G2
EBP,"EBP1r",3,0,0.48940949895266,0.0116279069767442,0.155988134830154,0.00295566502463054,2.64076423430081e-06,0.0621745464986131,0,0.966765760705957,0.0546265312149268,-0.204721108649073,-0.283037769662918,0.0719341197418206,0,G2
EBP,"EBP2r",3,0,0.48940949895266,0.0116279069767442,0.156379479576589,0.00197044334975369,4.24602087310753e-06,0.0593357793279141,0,0.966765760705957,0.0546265312149268,-0,-0.283037769662918,0.0719341197418206,0,G2
ECH1,"C2M26DCOAHLx",3,0.881066159577056,0.489409498952657,1,0.305755690969332,0.045320197044335,0,0.240314146993205,1,0.966765760705957,0.054345970677875,-0,1.03147457188981,0.107036872171526,0,G2
ECH1,"ECOAH1x",3,0.881066159577056,0.489409498952657,1,0.305847212369066,0.0463054187192118,2.81804175599746e-06,0.245514153002443,1,0.966765760705957,0.054345970677875,-0,1.03147457188981,0.107036872171526,0,G2
ECH1,"T2M26DCOAHLx",3,0.881066159577056,0.489409498952657,1,0.305755690969332,0.045320197044335,0,0.240314146993205,1,0.966765760705957,0.054345970677875,-0,1.03147457188981,0.107036872171526,0,G2
ECHDC2,"3HBCDm",3,0.881066159577056,0.489409498952657,1,0.466419253001861,0.121182266009852,2.885176201203e-05,0.195487029625822,1,0.966765760705957,0.054345970677875,-0,1.03147457188981,0.0896394391275317,0,G2
ECHS1,"ECOAH12m",3,0.863108656512851,0.417417834758739,1,0.466294569343571,0.120197044334975,2.89054709154227e-05,0.194025405301728,1,0.967218539155014,0.0547888615850042,-0.323171314365306,2.84324471918511,0.090607611840641,0,G2
ECHS1,"ECOAH1m",3,0.863108656512851,0.417417834758739,1,0.466543964404624,0.122167487684729,2.97888485331238e-05,0.196865867887963,1,0.964036688549998,0.0516764945901934,1.94787944849612,2.84324471918511,0.090607611840641,0,G2
ECHS1,"ECOAH9m",3,0.863108656512851,0.417417834758739,1,0.466419253001861,0.121182266009852,2.98411006150924e-05,0.195380676501989,1,0.967177437573165,0.0547486575582727,-0.293834997108706,2.84324471918511,0.090607611840641,0,G2
ECHS1,"PRPNCOAHYDm",3,0.863108656512851,0.417417834758739,1,0.466294569343571,0.120197044334975,2.76170019695725e-05,0.193971699596287,0,0.966765760705957,0.054345970677875,-0,2.84307061643307,0.090607611840641,0,G2
EHHADH,"C2M26DCOAHLx",3,0.881066159577056,0.489409498952664,1,0.305755690969332,0.045320197044335,0,0.240314146993205,1,0.966765760705957,0.054345970677875,-0,2.37272175497543,0.269062986868462,0,G2
