genes,reaction,Organism,geneKO,maxATPafterKO,growthAcrossCond,closeness,degree,betweenness,pagerank,reversible,rawVmin,rawVmax,PFBAflux,kcat,MW,Target,Acetyl,Phos
b2282,"NADH17pp",1,0.889270844864049,0.859248542112368,0.0120120120120121,0.854754550361642,0.787379972565158,0.0641690339632114,0.792202587972546,0,0.449744842686922,0.555793965019927,0,1.00375811962536,0.206877828054299,1,1,0
b2282,"NADH18pp",1,0.889270844864049,0.859248542112368,0.0120120120120121,0.851879241302485,0.783264746227709,0.0513133234294828,0.777103130702543,0,0.449744842686922,0.555793965019262,0,1.00375811962536,0.206877828054299,1,1,0
b2283,"NADH16pp",1,0.889270844864049,0.859248542112368,0.0120120120120121,0.853110082901732,0.786694101508916,0.0597666805077909,0.792716568543098,0,0.449744842686922,0.555793965019997,145.549688598671,1.00375811962536,0.606815415821501,1,1,0
b2283,"NADH17pp",1,0.889270844864049,0.859248542112368,0.0120120120120121,0.854754550361642,0.787379972565158,0.0641690339632114,0.792202587972546,0,0.449744842686922,0.555793965019927,0,1.00375811962536,0.606815415821501,1,1,0
b2283,"NADH18pp",1,0.889270844864049,0.859248542112368,0.0120120120120121,0.851879241302485,0.783264746227709,0.0513133234294828,0.777103130702543,0,0.449744842686922,0.555793965019262,0,1.00375811962536,0.606815415821501,1,1,0
b2284,"NADH16pp",1,0.889270844864049,0.859248542112368,0.0120120120120121,0.853110082901732,0.786694101508916,0.0597666805077909,0.792716568543098,0,0.449744842686922,0.555793965019997,145.549688598671,1.00375811962536,0.288469339990638,1,1,0
b2284,"NADH17pp",1,0.889270844864049,0.859248542112368,0.0120120120120121,0.854754550361642,0.787379972565158,0.0641690339632114,0.792202587972546,0,0.449744842686922,0.555793965019927,0,1.00375811962536,0.288469339990638,1,1,0
b2284,"NADH18pp",1,0.889270844864049,0.859248542112368,0.0120120120120121,0.851879241302485,0.783264746227709,0.0513133234294828,0.777103130702543,0,0.449744842686922,0.555793965019262,0,1.00375811962536,0.288469339990638,1,1,0
b2285,"NADH16pp",1,0.889270844864049,0.859248542112368,0.0120120120120121,0.853110082901732,0.786694101508916,0.0597666805077909,0.792716568543098,0,0.449744842686922,0.555793965019997,145.549688598671,1.00375811962536,0.0968513028553596,0,0,0
b2285,"NADH17pp",1,0.889270844864049,0.859248542112368,0.0120120120120121,0.854754550361642,0.787379972565158,0.0641690339632114,0.792202587972546,0,0.449744842686922,0.555793965019927,0,1.00375811962536,0.0968513028553596,0,0,0
b2285,"NADH18pp",1,0.889270844864049,0.859248542112368,0.0120120120120121,0.851879241302485,0.783264746227709,0.0513133234294828,0.777103130702543,0,0.449744842686922,0.555793965019262,0,1.00375811962536,0.0968513028553596,0,0,0
b2286,"NADH16pp",1,0.889270844864049,0.859248542112368,0.0120120120120121,0.853110082901732,0.786694101508916,0.0597666805077909,0.792716568543098,0,0.449744842686922,0.555793965019997,145.549688598671,1.00375811962536,0.406703073802465,1,1,0
b2286,"NADH17pp",1,0.889270844864049,0.859248542112368,0.0120120120120121,0.854754550361642,0.787379972565158,0.0641690339632114,0.792202587972546,0,0.449744842686922,0.555793965019927,0,1.00375811962536,0.406703073802465,1,1,0
b2286,"NADH18pp",1,0.889270844864049,0.859248542112368,0.0120120120120121,0.851879241302485,0.783264746227709,0.0513133234294828,0.777103130702543,0,0.449744842686922,0.555793965019262,0,1.00375811962536,0.406703073802465,1,1,0
b2287,"NADH16pp",1,0.889270844864049,0.859248542112368,0.0120120120120121,0.853110082901732,0.786694101508916,0.0597666805077909,0.792716568543098,0,0.449744842686922,0.555793965019997,145.549688598671,1.00375811962536,0.137207052582306,1,1,0
b2287,"NADH17pp",1,0.889270844864049,0.859248542112368,0.0120120120120121,0.854754550361642,0.787379972565158,0.0641690339632114,0.792202587972546,0,0.449744842686922,0.555793965019927,0,1.00375811962536,0.137207052582306,1,1,0
b2287,"NADH18pp",1,0.889270844864049,0.859248542112368,0.0120120120120121,0.851879241302485,0.783264746227709,0.0513133234294828,0.777103130702543,0,0.449744842686922,0.555793965019262,0,1.00375811962536,0.137207052582306,1,1,0
