genes,reaction,Phase
AKR7A2,ALR2,G0
AKR7A2,ALR3,G0
AKR7A2,ARABR,G0
AKR7A2,LALDO2,G0
AKR7A2,LALDO2x,G0
AKR7A2,PPDOx,G0
AKR7A2,PPDOy,G0
AKR7A2,SBTR,G0
ALAS2,ALASm,G0
ALDH18A1,AGPRim,G0
ALDH18A1,G5SDym,G0
ALDH18A1,GCALDDm,G0
ALDH18A1,GLU5Km,G0
ALDH18A1,LCADi_Dm,G0
ALDH18A1,LCADim,G0
ALDH1A1,5HOXINDACTOX,G0
ALDH1A1,ALDD20x,G0
ALDH1A1,ALDD2x,G0
ALDH1A1,BAMPPALDOX,G0
ALDH1A1,GCALDD,G0
ALDH1A1,GLACO,G0
ALDH1A1,IMACTD,G0
ALDH1A1,LCADi,G0
ALDH1A1,LCADi_D,G0
ALDH1A1,NABTNO,G0
ALDH1A1,PYLALDOX,G0
ALDH1A3,34DHPLACOX,G0
ALDH1A3,34DHXMANDACOX,G0
ALDH1A3,3M4HDXPAC,G0
ALDH1A3,3MOX4HOXPGALDOX,G0
ALDH1A3,3MOX4HOXPGALDOX(NADP),G0
ALDH1A3,4HOXPACDOX(NADP),G0
ALDH1A3,ALDD19x,G0
ALDH1A3,ALDD19x(P),G0
ALDH1A3,ALDD2x,G0
ALDH1A3,GCALDD,G0
ALDH1A3,GLACO,G0
ALDH1A3,LCADi,G0
ALDH1A3,LCADi_D,G0
ALDH1A3,MACOXO,G0
ALDH1B1,5HOXINDACTOXm,G0
ALDH1B1,ALDD20xm,G0
ALDH1B1,ALDD2xm,G0
ALDH1B1,BAMPPALDOXm,G0
ALDH1B1,GCALDDm,G0
ALDH1B1,GLACOm,G0
ALDH1B1,IMACTD_m,G0
ALDH1B1,LCADi_Dm,G0
ALDH1B1,LCADim,G0
ALDH1B1,NABTNOm,G0
ALDH1B1,PYLALDOXm,G0
ALDH1L1,FDH,G0
ALDH1L1,FTHFDH,G0
ALDH2,5HOXINDACTOXm,G0
ALDH2,ALDD20xm,G0
ALDH2,ALDD2xm,G0
ALDH2,BAMPPALDOXm,G0
ALDH2,GCALDDm,G0
ALDH2,GLACOm,G0
ALDH2,IMACTD_m,G0
ALDH2,LCADi_Dm,G0
ALDH2,LCADim,G0
ALDH2,NABTNOm,G0
ALDH2,PYLALDOXm,G0
ALDH3A1,34DHPLACOX,G0
ALDH3A1,34DHPLACOX(NADP),G0
ALDH3A1,34DHXMANDACOX,G0
ALDH3A1,3M4HDXPAC,G0
ALDH3A1,3MOX4HOXPGALDOX,G0
ALDH3A1,3MOX4HOXPGALDOX(NADP),G0
ALDH3A1,4HOXPACDOX(NADP),G0
ALDH3A1,ALDD19x,G0
ALDH3A1,ALDD19x(P),G0
ALDH3A1,ALDD2x,G0
ALDH3A1,ALDD2y,G0
ALDH3A1,GCALDD,G0
ALDH3A1,GLACO,G0
ALDH3A1,LCADi,G0
ALDH3A1,LCADi_D,G0
ALDH3A1,MACOXO,G0
ALDH3A2,5HOXINDACTOX,G0
ALDH3A2,ALDD20x,G0
ALDH3A2,ALDD21,G0
ALDH3A2,ALDD2x,G0
ALDH3A2,ALDD2y,G0
ALDH3A2,BAMPPALDOX,G0
ALDH3A2,GCALDD,G0
ALDH3A2,GLACO,G0
ALDH3A2,IMACTD,G0
ALDH3A2,LCADi,G0
ALDH3A2,LCADi_D,G0
ALDH3A2,NABTNO,G0
ALDH3A2,PYLALDOX,G0
ALDH3B1,34DHPLACOX,G0
ALDH3B1,34DHPLACOX(NADP),G0
ALDH3B1,34DHXMANDACOX,G0
ALDH3B1,34DHXMANDACOX(NADP),G0
ALDH3B1,3M4HDXPAC,G0
ALDH3B1,3MOX4HOXPGALDOX,G0
ALDH3B1,3MOX4HOXPGALDOX(NADP),G0
ALDH3B1,4HOXPACDOX(NADP),G0
ALDH3B1,ALDD19x,G0
ALDH3B1,ALDD19x(P),G0
ALDH3B1,ALDD2x,G0
ALDH3B1,ALDD2y,G0
ALDH3B1,GCALDD,G0
ALDH3B1,GLACO,G0
ALDH3B1,LCADi,G0
ALDH3B1,LCADi_D,G0
ALDH3B1,MACOXO,G0
ALDH3B2,34DHPLACOX,G0
ALDH3B2,34DHPLACOX(NADP),G0
ALDH3B2,34DHXMANDACOX(NADP),G0
ALDH3B2,3M4HDXPAC,G0
ALDH3B2,3MOX4HOXPGALDOX,G0
ALDH3B2,3MOX4HOXPGALDOX(NADP),G0
ALDH3B2,4HOXPACDOX(NADP),G0
ALDH3B2,ALDD19x,G0
ALDH3B2,ALDD19x(P),G0
ALDH3B2,ALDD2x,G0
ALDH3B2,ALDD2y,G0
ALDH3B2,GCALDD,G0
ALDH3B2,GLACO,G0
ALDH3B2,LCADi,G0
ALDH3B2,LCADi_D,G0
ALDH3B2,MACOXO,G0
ALDH6A1,GCALDDm,G0
ALDH6A1,LCADi_Dm,G0
ALDH6A1,LCADim,G0
ALDH6A1,MMSAD1m,G0
ALDH6A1,MMSAD3m,G0
ALDH7A1,5HOXINDACTOX,G0
ALDH7A1,ALDD20x,G0
ALDH7A1,ALDD2x,G0
ALDH7A1,BAMPPALDOX,G0
ALDH7A1,GCALDD,G0
ALDH7A1,IMACTD,G0
ALDH7A1,LCADi,G0
ALDH7A1,LCADi_D,G0
ALDH7A1,NABTNO,G0
ALDH7A1,PYLALDOX,G0
ALDH9A1,5HOXINDACTOX,G0
ALDH9A1,ABUTD,G0
ALDH9A1,ALDD20x,G0
ALDH9A1,ALDD2x,G0
ALDH9A1,ALDD2y,G0
ALDH9A1,BAMPPALDOX,G0
ALDH9A1,BETALDHx,G0
ALDH9A1,GCALDD,G0
ALDH9A1,GLACO,G0
ALDH9A1,IMACTD,G0
ALDH9A1,LCADi,G0
ALDH9A1,LCADi_D,G0
ALDH9A1,NABTNO,G0
ALDH9A1,PYLALDOX,G0
ALDH9A1,TMABADH,G0
ALDOB,FBA,G0
ALDOB,FBA2,G0
ALDOB,FBA4,G0
ALDOB,FBA5,G0
ALDOC,FBA,G0
ALDOC,FBA2,G0
ALDOC,FBA4,G0
ALG1,BDMT_L,G0
ALG1,BDMT_U,G0
ALG10,DOLPGT3_Ler,G0
ALG10,DOLPGT3_Uer,G0
ALG12,DOLPMT3_Ler,G0
ALG12,DOLPMT3_Uer,G0
ALG5,UDPDOLPT_L,G0
ALG5,UDPDOLPT_U,G0
