genes,reaction
ALDH3B2,3MOX4HOXPGALDOX(NADP)
ALDH3B2,4HOXPACDOX(NADP)
ALDH3B2,ALDD19x
ALDH3B2,ALDD19x(P)
ALDH3B2,ALDD2x
ALDH3B2,ALDD2y
ALDH3B2,GCALDD
ALDH3B2,GLACO
ALDH3B2,LCADi
ALDH3B2,LCADi_D
ALDH3B2,MACOXO
ALDH6A1,GCALDDm
ALDH6A1,LCADi_Dm
ALDH6A1,LCADim
ALDH6A1,MMSAD1m
ALDH7A1,5HOXINDACTOX
ALDH7A1,ALDD20x
ALDH7A1,ALDD2x
ALDH7A1,BAMPPALDOX
ALDH7A1,GCALDD
ALDH7A1,IMACTD
ALDH7A1,LCADi
ALDH7A1,LCADi_D
ALDH7A1,NABTNO
ALDH7A1,PYLALDOX
ALDH9A1,5HOXINDACTOX
ALDH9A1,ABUTD
ALDH9A1,ALDD20x
ALDH9A1,ALDD2x
ALDH9A1,ALDD2y
ALDH9A1,BAMPPALDOX
ALDH9A1,BETALDHx
ALDH9A1,GCALDD
ALDH9A1,GLACO
ALDH9A1,IMACTD
ALDH9A1,LCADi
ALDH9A1,LCADi_D
ALDH9A1,NABTNO
ALDH9A1,PYLALDOX
ALDH9A1,TMABADH
ALDOB,FBA
ALDOB,FBA2
ALDOB,FBA4
ALDOB,FBA5
ALDOC,FBA2
ALDOC,FBA4
ALG1,BDMT_L
ALG1,BDMT_U
ALG10,DOLPGT3_Ler
ALG10,DOLPGT3_Uer
ALG12,DOLPMT3_Ler
ALG12,DOLPMT3_Uer
ALG5,UDPDOLPT_L
ALG5,UDPDOLPT_U
ALG6,DOLPGT1_Ler
ALG6,DOLPGT1_Uer
ALOX12,ALOX12
ALOX12B,ALOX12R
ALOX15,ALOX15
ALOX15B,ALOX15
ALOX5,ALOX5
ALOX5,ALOX52
ALPI,ALKP
ALPPL2,ALKP
AMD1,ADMDC
AMPD1,AMPDA
AMPD3,AMPDA
AMT,GCC2am
AMT,GCC2bim
AMT,GCC2cm
AMT,GCCam
AMT,GCCbim
AMT,GCCcm
AMY2A,AMY1e
AMY2A,AMY2e
AMY2B,AMY1e
AMY2B,AMY2e
AOC3,13DAMPPOX
AOC3,42A12BOOX
AOC3,AACTOOR
AOC3,MAOX
AOC3,MHISOR
AOC3,NMPTRCOX
AOC3,PTRCOX1
AOX1,5HOXINDACTO2OX
AOX1,PYDXDH
APRT,ADPT
AQP9,UREAtm
ARSA,ARSA
ASL,ARGSL
ASPA,NACASPAH
ATHL1,TREH
ATIC,AICART
ATIC,IMPC
