genes,reaction,Phase
ATHL1,TREH,S
ATIC,AICART,S
ATIC,IMPC,S
ATP10A,PCFLOPm,S
ATP10A,PEFLIP,S
ATP10A,PEFLIPm,S
ATP10A,PSFLIP,S
ATP10A,PSFLIPm,S
ATP1A1,NaKt,S
ATP1A2,NaKt,S
ATP1A3,NaKt,S
ATP1A4,NaKt,S
ATP1B1,NaKt,S
ATP1B2,NaKt,S
ATP1B3,NaKt,S
ATP1B4,NaKt,S
ATP2B1,CAATPS,S
ATP2B2,CAATPS,S
ATP2B3,CAATPS,S
ATP2B4,CAATPS,S
ATP4A,HKt,S
ATP4B,HKt,S
ATP5B,ATPS4m,S
ATP5I,ATPS4m,S
ATP5L,ATPS4m,S
ATP6V0A1,ATPasel,S
ATP6V0A2,ATPasel,S
ATP6V0B,ATPasel,S
ATP6V0C,ATPasel,S
ATP6V0D1,ATPasel,S
ATP6V0D2,ATPasel,S
ATP6V1A,ATPasel,S
ATP6V1B1,ATPasel,S
ATP6V1B2,ATPasel,S
ATP6V1C2,ATPasel,S
ATP6V1D,ATPasel,S
ATP6V1E1,ATPasel,S
ATP6V1E2,ATPasel,S
ATP6V1F,ATPasel,S
ATP6V1G1,ATPasel,S
ATP8A1,PEFLIP,S
ATP8A1,PEFLIPm,S
ATP8A1,PSFLIP,S
ATP8A1,PSFLIPm,S
AUH,C2M26DCOAHLm,S
AUH,ECOAH1m,S
AUH,MGCHrm,S
AUH,PRPNCOAHYDm,S
AUH,T2M26DCOAHLm,S
B3GALT4,B3GALT41g,S
B3GALT4,B3GALT42g,S
B3GALT4,B3GALT43g,S
B3GALT4,B3GALT44g,S
B3GALT6,GALT2g,S
B3GAT2,GLCATg,S
B3GNT1,AG13T10g,S
B3GNT1,AG13T11g,S
B3GNT1,AG13T12g,S
B3GNT1,AG13T13g,S
B3GNT1,AG13T14g,S
B3GNT1,AG13T15g,S
B3GNT1,AG13T16g,S
B3GNT1,AG13T17g,S
B3GNT1,AG13T18g,S
B3GNT1,AG13T1g,S
B3GNT1,AG13T2g,S
B3GNT1,AG13T3g,S
B3GNT1,AG13T4g,S
B3GNT1,AG13T5g,S
B3GNT1,AG13T6g,S
B3GNT1,AG13T7g,S
B3GNT1,AG13T8g,S
B3GNT1,AG13T9g,S
B3GNT3,AG13T10g,S
B3GNT3,AG13T11g,S
B3GNT3,AG13T12g,S
B3GNT3,AG13T13g,S
B3GNT3,AG13T14g,S
B3GNT3,AG13T15g,S
B3GNT3,AG13T16g,S
B3GNT3,AG13T17g,S
B3GNT3,AG13T18g,S
B3GNT3,AG13T1g,S
B3GNT3,AG13T2g,S
B3GNT3,AG13T3g,S
B3GNT3,AG13T4g,S
B3GNT3,AG13T5g,S
B3GNT3,AG13T6g,S
B3GNT3,AG13T7g,S
B3GNT3,AG13T8g,S
B3GNT3,AG13T9g,S
B3GNT3,B3GNT310g,S
B3GNT3,B3GNT311g,S
B3GNT3,B3GNT312g,S
B3GNT3,B3GNT313g,S
B3GNT3,B3GNT314g,S
B3GNT3,B3GNT315g,S
B3GNT3,B3GNT31g,S
B3GNT3,B3GNT32g,S
B3GNT3,B3GNT33g,S
B3GNT3,B3GNT34g,S
B3GNT3,B3GNT35g,S
B3GNT3,B3GNT36g,S
B3GNT3,B3GNT37g,S
B3GNT3,B3GNT38g,S
B3GNT3,B3GNT39g,S
B3GNT4,AG13T10g,S
B3GNT4,AG13T11g,S
B3GNT4,AG13T12g,S
B3GNT4,AG13T13g,S
B3GNT4,AG13T14g,S
B3GNT4,AG13T15g,S
B3GNT4,AG13T16g,S
B3GNT4,AG13T17g,S
B3GNT4,AG13T18g,S
B3GNT4,AG13T1g,S
B3GNT4,AG13T2g,S
B3GNT4,AG13T3g,S
B3GNT4,AG13T4g,S
B3GNT4,AG13T5g,S
B3GNT4,AG13T6g,S
B3GNT4,AG13T7g,S
B3GNT4,AG13T8g,S
B3GNT4,AG13T9g,S
B3GNT5,B3GNT51g,S
B3GNT6,CORE3GTg,S
B3GNT7,AG13T10g,S
B3GNT7,AG13T11g,S
B3GNT7,AG13T12g,S
B3GNT7,AG13T13g,S
B3GNT7,AG13T14g,S
B3GNT7,AG13T15g,S
B3GNT7,AG13T16g,S
B3GNT7,AG13T17g,S
B3GNT7,AG13T18g,S
B3GNT7,AG13T1g,S
B3GNT7,AG13T2g,S
B3GNT7,AG13T3g,S
B3GNT7,AG13T4g,S
B3GNT7,AG13T5g,S
B3GNT7,AG13T6g,S
B3GNT7,AG13T7g,S
B3GNT7,AG13T8g,S
B3GNT7,AG13T9g,S
B4GALNT1,GALGT1,S
B4GALNT1,GALGT2,S
B4GALNT1,GALGT3,S
B4GALNT1,GALGT4,S
B4GALT1,G14T10g,S
B4GALT1,G14T11g,S
B4GALT1,G14T12g,S
B4GALT1,G14T13g,S
B4GALT1,G14T14g,S
B4GALT1,G14T15g,S
B4GALT1,G14T16g,S
B4GALT1,G14T17g,S
B4GALT1,G14T18g,S
B4GALT1,G14T19g,S
B4GALT1,G14T20g,S
B4GALT1,G14T21g,S
B4GALT1,G14T2g,S
B4GALT1,G14T3g,S
B4GALT1,G14T4g,S
B4GALT1,G14T5g,S
B4GALT1,G14T6g,S
B4GALT1,G14T7g,S
B4GALT1,G14T8g,S
B4GALT1,G14T9g,S
B4GALT1,G14Tg,S
B4GALT1,UGALGTg,S
B4GALT3,G14T10g,S
B4GALT3,G14T11g,S
B4GALT3,G14T12g,S
B4GALT3,G14T13g,S
B4GALT3,G14T14g,S
B4GALT3,G14T15g,S
B4GALT3,G14T16g,S
B4GALT3,G14T17g,S
B4GALT3,G14T18g,S
B4GALT3,G14T19g,S
B4GALT3,G14T20g,S
B4GALT3,G14T21g,S
B4GALT3,G14T2g,S
B4GALT3,G14T3g,S
B4GALT3,G14T4g,S
B4GALT3,G14T5g,S
B4GALT3,G14T6g,S
B4GALT3,G14T7g,S
B4GALT3,G14T8g,S
B4GALT3,G14T9g,S
B4GALT3,G14Tg,S
B4GALT5,G14T10g,S
B4GALT5,G14T11g,S
B4GALT5,G14T12g,S
B4GALT5,G14T13g,S
B4GALT5,G14T14g,S
B4GALT5,G14T15g,S
B4GALT5,G14T16g,S
B4GALT5,G14T17g,S
B4GALT5,G14T18g,S
B4GALT5,G14T19g,S
B4GALT5,G14T20g,S
B4GALT5,G14T21g,S
B4GALT5,G14T2g,S
B4GALT5,G14T3g,S
B4GALT5,G14T4g,S
B4GALT5,G14T5g,S
B4GALT5,G14T6g,S
B4GALT5,G14T7g,S
B4GALT5,G14T8g,S
B4GALT5,G14T9g,S
B4GALT5,G14Tg,S
BAAT,BAAT1x,S
BAAT,BAAT2x,S
BAAT,BAAT3x,S
BAAT,BAAT4x,S
BAAT,BAAT5x,S
BBOX1,BBHOX,S
BCAT1,ILETA,S
BCAT1,LEUTA,S
BCAT1,VALTA,S
BCAT2,ILETAm,S
BCAT2,LEUTAm,S
BCAT2,VALTAm,S
BCKDHA,OIVD1m,S
BCKDHA,OIVD2m,S
BCKDHA,OIVD3m,S
BCMO1,BCDO,S
BHMT,BHMT,S
BHMT2,BHMT,S
BLVRA,BILIRED,S
BLVRB,BILIRED,S
BPNT1,BPNT,S
BPNT1,BPNT2,S
BTD,BTND1,S
BTD,BTND1n,S
BTD,BTNDe,S
BTD,BTNDm,S
C1GALT1,N3Tg,S
C9orf95,RNMK,S
CA1,H2CO3D,S
CA13,H2CO3D,S
CA14,H2CO3D,S
CA2,H2CO3D,S
CA3,H2CO3D,S
CA4,H2CO3D,S
CA5A,H2CO3Dm,S
CA9,H2CO3D,S
CAD,ASPCTr,S
CAD,CBPS,S
CANT1,NDP10ex,S
CANT1,NDP3ex,S
CANT1,NDP7ex,S
CANT1,NDP8ex,S
CANT1,NTP3e,S
CAT,CAT2p,S
CAT,CATm,S
CAT,CATp,S
CBR1,CBR1,S
CBR1,CBR2,S
CBS,CYSTS,S
CBS,SELCYSTS,S
CCBL1,3HKYNAKGAT,S
CCBL1,KYNAKGAT,S
CD38,ADPRIBt,S
CD38,NADNe,S
CD38,NADPNe,S
CDA,CYTD,S
CDA,DCYTD,S
CDO1,CYSO,S
CDS1,CDS,S
CDS2,CDSm,S
CEPT1,CEPTC,S
CEPT1,CEPTE,S
CES2,COKECBESr,S
CHDH,CHOLD2m,S
CHIT1,CHTNASE,S
CHPF,GALNACT2g,S
CHPF,GALNACT3g,S
CHPF,GALNACT4g,S
CHPF,GALNACT5g,S
CHPF,GLCAT2g,S
CHPF,GLCAT3g,S
CHPF,GLCAT4g,S
CHPF,GLCAT5g,S
CHPF2,GLCAT2g,S
CHPF2,GLCAT3g,S
CHPF2,GLCAT4g,S
CHPF2,GLCAT5g,S
CHPT1,CEPTC,S
CHST1,S6T15g,S
CHST1,S6T18g,S
CHST1,S6T3g,S
CHST11,S4T1g,S
CHST11,S4T2g,S
CHST11,S4T3g,S
CHST11,S4T6g,S
CHST12,S4T1g,S
CHST12,S4T2g,S
CHST12,S4T3g,S
CHST12,S4T6g,S
CHST13,S4T1g,S
CHST13,S4T2g,S
CHST13,S4T3g,S
CHST13,S4T6g,S
CHST14,S4T1g,S
CHST14,S4T2g,S
CHST14,S4T3g,S
CHST14,S4T6g,S
CHST2,S6T10g,S
CHST2,S6T11g,S
CHST2,S6T12g,S
CHST2,S6T13g,S
CHST2,S6T14g,S
CHST2,S6T16g,S
CHST2,S6T17g,S
CHST2,S6T1g,S
CHST2,S6T2g,S
CHST2,S6T4g,S
CHST2,S6T5g,S
CHST2,S6T6g,S
CHST2,S6T7g,S
CHST2,S6T8g,S
CHST2,S6T9g,S
CHST3,S6T15g,S
CHST3,S6T18g,S
CHST3,S6T19g,S
CHST3,S6T20g,S
CHST3,S6T21g,S
CHST3,S6T24g,S
CHST3,S6T3g,S
CHST4,S6T10g,S
CHST4,S6T11g,S
CHST4,S6T12g,S
CHST4,S6T13g,S
CHST4,S6T14g,S
CHST4,S6T16g,S
CHST4,S6T17g,S
CHST4,S6T1g,S
CHST4,S6T2g,S
CHST4,S6T4g,S
CHST4,S6T5g,S
CHST4,S6T6g,S
CHST4,S6T7g,S
CHST4,S6T8g,S
CHST4,S6T9g,S
CHST6,S6T10g,S
CHST6,S6T11g,S
CHST6,S6T12g,S
CHST6,S6T13g,S
CHST6,S6T14g,S
CHST6,S6T16g,S
CHST6,S6T17g,S
CHST6,S6T1g,S
CHST6,S6T2g,S
CHST6,S6T4g,S
CHST6,S6T5g,S
CHST6,S6T6g,S
CHST6,S6T7g,S
CHST6,S6T8g,S
CHST6,S6T9g,S
CHST7,S6T19g,S
CHST7,S6T20g,S
CHST7,S6T21g,S
CHST7,S6T22g,S
CHST7,S6T23g,S
CHST7,S6T24g,S
CHSY1,GALNACT2g,S
CHSY1,GALNACT3g,S
CHSY1,GALNACT4g,S
CHSY1,GALNACT5g,S
CHSY1,GLCAT2g,S
CHSY1,GLCAT3g,S
CHSY1,GLCAT4g,S
