genes,reaction
CBS,SELCYSTS
CCBL1,3HKYNAKGAT
CCBL1,KYNAKGAT
CDO1,CYSO
CDS1,CDS
CDS2,CDSm
CEPT1,CEPTC
CHIT1,CHTNASE
CHPT1,CEPTC
CHST1,S6T15g
CHST1,S6T18g
CHST1,S6T3g
CHST12,S4T1g
CHST12,S4T2g
CHST12,S4T3g
CHST12,S4T6g
CHST13,S4T1g
CHST13,S4T2g
CHST13,S4T3g
CHST13,S4T6g
CHST14,S4T2g
CHST2,S6T10g
CHST2,S6T11g
CHST2,S6T12g
CHST2,S6T13g
CHST2,S6T14g
CHST2,S6T16g
CHST2,S6T17g
CHST2,S6T1g
CHST2,S6T2g
CHST2,S6T4g
CHST2,S6T5g
CHST2,S6T6g
CHST2,S6T7g
CHST2,S6T8g
CHST2,S6T9g
CHST3,S6T15g
CHST3,S6T18g
CHST3,S6T19g
CHST3,S6T20g
CHST3,S6T21g
CHST3,S6T24g
CHST3,S6T3g
CHST7,S6T19g
CHST7,S6T20g
CHST7,S6T21g
CHST7,S6T22g
CHST7,S6T23g
CHST7,S6T24g
CKB,CKc
CKM,CKc
CKMT1B,CK
CKMT2,CK
CMAS,CMPSAS
CMAS,CMPSASn
COASY,DPCOAK
COASY,PTPAT
COL4A3BP,CERT1gt
COL4A3BP,CERT1rt
COL4A3BP,CERT2gt
COL4A3BP,CERT2rt
COQ2,HBZOPT10m
COX1,CYOOm3
COX2,CYOOm3
COX4I1,CYOOm3
COX4I2,CYOOm3
COX5A,CYOOm3
CPOX,CPPPGO
CPT1A,HPDCACRNCPT1
CPT1A,PTDCACRNCPT1
CPT1C,HPDCACRNCPT1
CPT1C,PTDCACRNCPT1
CPT2,ADRNCPT2
CPT2,ARACHCPT2
CPT2,C161CPT2
CPT2,C161CPT22
CPT2,C180CPT2
CPT2,C181CPT2
CPT2,C204CPT2
CPT2,C226CPT2
CPT2,CLPNDCPT2
CPT2,DCSPTN1CPT2
CPT2,DLNLCGCPT2
CPT2,EICOSTETCPT2
CPT2,ELAIDCPT2
CPT2,HEXCCPT2
CPT2,HPDCACRNCPT2
CPT2,LGNCCPT2
CPT2,LNELDCCPT2
CPT2,LNLCCPT2
CPT2,LNLNCACPT2
CPT2,LNLNCGCPT2
CPT2,NRVNCCPT2
CPT2,PTDCACRNCPT2
CPT2,RTOTAL2CRNCPT2
CPT2,RTOTAL3CRNCPT2
CPT2,RTOTALCRNCPT2
CPT2,STRDNCCPT2
CPT2,TETPENT3CPT2
CPT2,TETPENT6CPT2
CPT2,TETTET6CPT2
CPT2,TMNDNCCPT2
CPT2,TTDCPT2
CPT2,VACCCPT2
CROT,CSNAT2x
CSAD,3SALACBOXL
CSAD,LCYSTCBOXL
CSGALNACT1,GALNACT1g
CSGALNACT1,GALNACT2g
CSGALNACT1,GALNACT3g
CSGALNACT1,GALNACT4g
CSGALNACT1,GALNACT5g
CSGALNACT2,GALNACT1g
CSGALNACT2,GALNACT3g
CSGALNACT2,GALNACT4g
CSGALNACT2,GALNACT5g
CTPS,CTPS1
CTSA,GLB1
CTSA,LACZly
CTSA,S6TASE10ly
CTSA,S6TASE22ly
CTSA,S6TASE25ly
CTSA,S6TASE4ly
CTSA,S6TASE5ly
CTSA,S6TASE6ly
CTSA,S6TASE7ly
CTSA,S6TASE8ly
CTSA,S6TASE9ly
CTSA,SIAASE3ly
CTSA,SIAASE4ly
CYC1,CYOR_u10m
CYP11A1,P45011A1m
CYP11B1,P45011B11m
CYP11B1,P45011B12m
CYP11B2,P45011B21m
CYP17A1,P45017A1r
CYP17A1,P45017A2r
CYP17A1,P45017A3r
CYP17A1,P45017A4r
CYP1A1,MELATNOX
CYP1A2,MELATNOX
CYP1B1,MELATNOX
CYP1B1,P4501B1r
CYP21A2,P45021A1r
CYP21A2,P45021A2r
CYP24A1,"24,25VITD2Hm"
CYP24A1,"24,25VITD3Hm"
CYP27A1,P45027A11m
CYP27A1,P45027A12m
CYP27A1,P45027A14m
